journalTitle,year,version,majorCategory,majorZone,isTop,source,url
IEEE Transactions on Pattern Analysis and Machine Intelligence,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Transactions on Pattern Analysis and Machine Intelligence,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
PROCEEDINGS OF THE IEEE,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
PROCEEDINGS OF THE IEEE,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
International Journal of Computer Vision,2025,2025 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
International Journal of Computer Vision,2026,2026 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Information Fusion,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Information Fusion,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
ACM Computing Surveys,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
ACM Computing Surveys,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Signal Processing Magazine,2025,2025 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Signal Processing Magazine,2026,2026 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Geoscience and Remote Sensing Magazine,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Geoscience and Remote Sensing Magazine,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Artificial Intelligence,2025,2025 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Artificial Intelligence,2026,2026 CAS authorized import,授权导入清单,2,否,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Transactions on Evolutionary Computation,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
IEEE Transactions on Evolutionary Computation,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Remote Sensing of Environment,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
Remote Sensing of Environment,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
ISPRS Journal of Photogrammetry and Remote Sensing,2025,2025 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
ISPRS Journal of Photogrammetry and Remote Sensing,2026,2026 CAS authorized import,授权导入清单,1,是,用户授权 CAS 分区导入,https://www.fenqubiao.com/
